header tradegood,IdKey,Name,Icon,Art,CategoryName,Density,Weight,StartPrice,Price,Desc,,,,
tradegood,27,Woolen Textiles,WoolenTextiles,WoolenTextiles,Textiles,350,5,5000,250,"The most common fabric of Europe, used for everything from rough tunics to fine cloaks.",,,,
tradegood,28,Goat-hair Cloth,Goat-hairCloth,Goat-hairCloth,Textiles,380,5,4500,225,"A coarse, durable, water-resistant fabric used for making tents and sacks.",,,,
tradegood,29,Silk Fabric,SilkFabric,SilkFabric,Textiles,500,1,50000,5000,"The ultimate luxury fabric, its production a secret in China. Price is for a single bolt.",,,,
tradegood,30,Muslin,Muslin,Muslin,Textiles,300,2,15000,1500,"An extremely fine, lightweight cotton cloth originating from India.",,,,
tradegood,31,Tapestries,Tapestries,Tapestries,Textiles,350,5,45000,2250,"Intricate woven wall hangings depicting scenes and patterns, a luxury item.",,,,
tradegood,32,Woven Carpets,WovenCarpets,WovenCarpets,Textiles,400,8,30000,938,"High-quality, decorated textiles from Persia and the East, used as floor coverings.",,,,
tradegood,33,Cedar Timber,CedarTimber,CedarTimber,Wood,380,100,12000,480,"Prized timber from Lebanon, valued for its resistance to rot and pleasant scent.",,,,
tradegood,34,Pine Timber,PineTimber,PineTimber,Wood,450,100,8000,320,"Common, versatile timber used for general construction and shipbuilding.",,,,
tradegood,35,Ebony,Ebony,Ebony,Wood,950,50,40000,800,"A dense, dark, valuable hardwood from Nubia and India, used for fine furniture.",,,,
tradegood,36,Limestone,Limestone,Limestone,Stone,1500,100,4000,160,A common and easily worked stone used for the bulk of construction.,,,,
tradegood,37,Sandstone,Sandstone,Sandstone,Stone,1400,100,5000,200,"A durable sedimentary rock used for temples and monuments, especially in Egypt.",,,,
tradegood,38,Marble,Marble,Marble,Stone,1800,100,25000,1000,"A luxury building material, prized for its beauty in sculpture and architecture.",,,,
tradegood,39,Granite,Granite,Granite,Stone,2000,100,18000,720,"An extremely hard and durable stone, used for high-status construction.",,,,
tradegood,40,Polished Stonework,PolishedStonework,PolishedStonework,Stone,1800,100,40000,1600,"Finished and polished slabs or blocks of stone, ready for use in luxury construction.",,,,
tradegood,41,Iron Ingot,IronIngot,IronIngot,Metal,3500,20,7000,88,"The backbone of the ancient world's tools and weapons, traded in bulk.",,,,
tradegood,42,Copper Ingot,CopperIngot,CopperIngot,Metal,4000,20,5500,69,"A metal used for tools, plumbing, and as a key component in bronze.",,,,
tradegood,43,Tin Ingot,TinIngot,TinIngot,Metal,3300,20,9000,113,"A relatively rare metal, essential for creating bronze. A key import from Britannia.",,,,
tradegood,44,Lead Ingots,LeadIngots,LeadIngots,Metal,5000,20,4500,56,"A heavy, soft metal used for pipes, construction, and sling bullets.",,,,
tradegood,45,Silver Bullion,SilverBullion,SilverBullion,Precious Metal,5200,1,10000,1000,The standard precious metal for high-value coinage and trade.,,,,
tradegood,46,Gold Bullion,GoldBullion,GoldBullion,Precious Metal,9650,1,120000,12000,The ultimate store of wealth and material for luxury items.,,,,
tradegood,47,Silver Coins,SilverCoins,SilverCoins,Precious Metal,5000,1,11000,1100,"Official currency. While the silver has value, the stamp increases its acceptability.",,,,
tradegood,48,Electrum Coins,ElectrumCoins,ElectrumCoins,Precious Metal,6500,1,16000,1600,"Coins made from a natural gold-silver alloy, an early form of currency from Lydia.",,,,
tradegood,49,Common Pottery,CommonPottery,CommonPottery,Ceramics,900,20,1500,19,"Everyday earthenware vessels, such as amphorae and cooking pots.",,,,
tradegood,50,Fine Pottery,FinePottery,FinePottery,Ceramics,800,10,15000,375,"High-quality, decorated tableware like Greek red-figure or Roman Samian ware.",,,,
tradegood,51,Red Slip Ware,RedSlipWare,RedSlipWare,Ceramics,850,15,8000,133,"A mass-produced, glossy red pottery from North Africa, widely traded.",,,,
tradegood,52,Glazed Pottery,GlazedPottery,GlazedPottery,Ceramics,950,12,6000,125,"Pottery with a vitreous glaze, common in the East, known for its durability.",,,,
tradegood,53,Glazed Bricks,GlazedBricks,GlazedBricks,Ceramics,1000,50,4000,80,"Colorful, weather-resistant bricks used for monumental architecture in Mesopotamia.",,,,
tradegood,54,Terracotta Statues,TerracottaStatues,TerracottaStatues,Ceramics,1000,5,3000,150,"Small statues made from baked clay, often used as household decorations.",,,,
tradegood,55,Common Glassware,CommonGlassware,CommonGlassware,Glassware,1200,5,4000,200,"Utilitarian glass bottles, jars, and cups made possible by glassblowing.",,,,
tradegood,56,Fine Glassware,FineGlassware,FineGlassware,Glassware,1000,1,35000,3500,"Luxurious and intricate glass items, such as cage cups, demonstrating incredible skill.",,,,
tradegood,57,Gallic Glass,GallicGlass,GallicGlass,Glassware,1100,5,6000,300,"High-quality glassware from Gaul, known for its unique styles and colors.",,,,
tradegood,58,Papyrus,Papyrus,Papyrus,Processed Goods,300,1,16000,1600,"The primary writing material of the Mediterranean, produced almost exclusively in Egypt.",,,,
tradegood,59,Parchment,Parchment,Parchment,Processed Goods,400,1,24000,2400,"A writing surface from animal skin, more durable than papyrus.",,,,
tradegood,60,Sogdian Paper,SogdianPaper,SogdianPaper,Processed Goods,350,1,40000,4000,"An early form of paper spreading west along the Silk Road, prized for being lightweight.",,,,
tradegood,61,Hides,Hides,Hides,Leather,600,10,2500,63,"Raw, unprocessed animal skins, the base material for leather production.",,,,
tradegood,62,Tanned Leather,TannedLeather,TannedLeather,Leather,500,10,5000,125,"Processed hides, used for making armor, shoes, shields, and other goods.",,,,
tradegood,63,Naval Supplies,NavalSupplies,NavalSupplies,Processed Goods,700,20,6000,75,"Materials for shipbuilding and repair, such as caulking pitch, rope, and sailcloth.",,,,
tradegood,64,Iron Weapons,IronWeapons,IronWeapons,Metalwork,2000,2,16000,1600,"Standard-issue military and civilian arms, such as swords and spearheads.",,,,
tradegood,65,Steel Swords,SteelSwords,SteelSwords,Metalwork,2000,2,40000,4000,"Superior quality swords, known for their strength and sharpness.",,,,
tradegood,66,Damascus Steel,DamascusSteel,DamascusSteel,Metal,3800,5,40000,2000,"Ingots of high-carbon steel from the East, famous for creating patterned, durable blades.",,,,
tradegood,67,Watered Steel,WateredSteel,WateredSteel,Metal,3800,5,35000,1750,"A precursor to Damascus steel, a type of crucible steel with a distinctive wavy pattern.",,,,
tradegood,68,Bronze Armor,BronzeArmor,BronzeArmor,Metalwork,2500,10,25000,625,"Classic armor of the Greek hoplite and early Romans, heavy but effective.",,,,
tradegood,69,Imperial Armor,ImperialArmor,ImperialArmor,Metalwork,2500,12,40000,833,"Advanced Roman segmented plate armor, providing excellent protection.",,,,
tradegood,70,Bronze Figurines,BronzeFigurines,BronzeFigurines,Metalwork,4300,1,8000,800,"Small bronze statues of gods, people, or animals. A common trade good.",,,,
tradegood,71,Bronze Mirrors,BronzeMirrors,BronzeMirrors,Metalwork,4400,1,7000,700,"Polished bronze discs used as mirrors, often with ornate backing.",,,,
tradegood,72,Brass Lamps,BrassLamps,BrassLamps,Metalwork,4200,1,6000,600,"Ornately designed oil lamps made from brass, a specialty of eastern cities.",,,,
tradegood,73,Silverware,Silverware,Silverware,Metalwork,5100,2,30000,3000,"Luxury eating utensils, plates, and cups made from silver.",,,,
tradegood,74,Gold Jewelry,GoldJewelry,GoldJewelry,Metalwork,9000,1,100000,10000,"Ornate personal adornments made from gold, demonstrating wealth.",,,,
tradegood,75,Gold Rhytons,GoldRhytons,GoldRhytons,Metalwork,9500,1,150000,15000,"Horn-shaped drinking vessels made of gold, a symbol of extreme Persian luxury.",,,,
tradegood,76,Inlaid Wood Box,InlaidWoodBox,InlaidWoodBox,Woodwork,700,2,18000,1800,"A decorative box made from fine wood, inlaid with ivory, bone, or metal.",,,,
tradegood,77,Tyrian Purple Dye,TyrianPurpleDye,TyrianPurpleDye,Dye,1400,1,200000,20000,"An incredibly expensive purple-red dye from murex snails, reserved for royalty.",,,,
tradegood,78,Murex Dye,MurexDye,MurexDye,Dye,1400,1,150000,15000,"A general term for dyes from sea snails, including shades of blue and purple.",,,,
tradegood,79,Black Pepper,BlackPepper,BlackPepper,Spices,550,1,45000,4500,"A valuable spice from India, highly sought after in Roman cuisine and medicine.",,,,
tradegood,80,Cinnamon,Cinnamon,Cinnamon,Spices,450,1,60000,6000,"A highly-prized aromatic spice from the East, used in perfumes and incense.",,,,
tradegood,81,Malabathron,Malabathron,Malabathron,Spices,400,1,140000,14000,"The aromatic leaves of a tree from the Malabar coast, used as a spice and perfume.",,,,
tradegood,82,Frankincense,Frankincense,Frankincense,Resins,600,1,35000,3500,"An aromatic resin from Southern Arabia, burned as incense in religious ceremonies.",,,,
tradegood,83,Myrrh,Myrrh,Myrrh,Resins,650,1,30000,3000,"A bitter resin from Arabia and Africa, used in incense, perfumes, and embalming.",,,,
tradegood,84,Amber,Amber,Amber,Resins,550,1,50000,5000,"Fossilized tree resin from the Baltic, traded south and valued for jewelry.",,,,
tradegood,85,Pine Resin,PineResin,PineResin,Resins,580,5,2000,100,"A sticky sap from pine trees, used for waterproofing, incense, and medicine.",,,,
tradegood,86,Bitumen,Bitumen,Bitumen,Industrial,700,10,1500,38,"A natural asphalt from Mesopotamia, used as a sealant for waterproofing.",,,,
tradegood,87,Naphtha,Naphtha,Naphtha,Industrial,750,10,5000,125,A volatile liquid petroleum used as a component in incendiary weapons.,,,,
tradegood,88,Arsenic,Arsenic,Arsenic,Industrial,2800,1,15000,1500,A toxic metalloid used in small quantities to harden bronze and in pigments.,,,,
tradegood,89,Perfumed Oils,PerfumedOils,PerfumedOils,Cosmetics,900,1,15000,1500,"Olive oil infused with flowers and herbs, used as a perfume and cosmetic.",,,,
tradegood,90,Balsam Oil,BalsamOil,BalsamOil,Cosmetics,930,1,30000,3000,"A rare and fragrant medicinal oil from Judea, prized for its healing properties.",,,,
tradegood,91,Spikenard,Spikenard,Spikenard,Cosmetics,900,1,36000,3600,"An expensive aromatic ointment from the Himalayas, a luxury perfume.",,,,
tradegood,92,Ivory,Ivory,Ivory,Luxury Goods,950,5,70000,3500,"Elephant tusks sourced from India and Africa, carved into luxury objects.",,,,
tradegood,93,Ostrich Feathers,OstrichFeathers,OstrichFeathers,Luxury Goods,50,1,60000,6000,"Large, decorative feathers from African ostriches, used in military standards and fashion.",,,,
tradegood,94,Sea Sponges,SeaSponges,SeaSponges,Luxury Goods,80,1,12500,1250,"Natural sponges harvested from the Mediterranean, used for bathing and cleaning.",,,,
tradegood,95,Jet Pendants,JetPendants,JetPendants,Jewelry,670,1,50000,5000,"A black gemstone from fossilized wood, popular in Roman Britain for jewelry.",,,,
tradegood,96,Pearls,Pearls,Pearls,Jewelry,1300,1,200000,20000,Precious gems from oysters in the Persian Gulf and Indian Ocean.,,,,
tradegood,97,Agate Beads,AgateBeads,AgateBeads,Jewelry,1300,1,70000,7000,"Colorful semi-precious stone beads from India, widely traded.",,,,
tradegood,98,Carnelian Beads,CarnelianBeads,CarnelianBeads,Jewelry,1300,1,70000,7000,"A reddish-brown semi-precious stone bead, very popular in the ancient world.",,,,
tradegood,99,Jade Carvings,JadeCarvings,JadeCarvings,Jewelry,1500,1,180000,18000,"A hard, green gemstone from Central Asia, highly prized in China.",,,,
tradegood,100,Lapis Lazuli,LapisLazuli,LapisLazuli,Gemstone,1200,1,200000,20000,"A deep blue stone from Afghanistan, used for jewelry and ultramarine pigment.",,,,
tradegood,101,Turquoise,Turquoise,Turquoise,Gemstone,1300,1,175000,17500,"An opaque, blue-to-green gemstone from Persia, used in protective amulets.",,,,
tradegood,102,Beryl,Beryl,Beryl,Gemstone,1350,1,225000,22500,"A valuable gemstone, often green (emerald) or blue (aquamarine).",,,,
tradegood,103,Lacquerware,Lacquerware,Lacquerware,Artisan Goods,600,2,22000,2200,"Decorative objects from China coated with tree sap, known for its glossy finish.",,,,
tradegood,104,Marble Statues,MarbleStatues,MarbleStatues,Art,1600,80,90000,2880,"Finished works of art, ranging from small devotional figures to life-sized statues.",,,,
tradegood,105,Limestone Statues,LimestoneStatues,LimestoneStatues,Art,1400,100,15000,600,"Large-scale statues carved from common limestone, less prestigious than marble.",,,,
tradegood,106,Scholarly Scroll,ScholarlyScroll,ScholarlyScroll,Knowledge,300,1,50000,5000,"A scroll containing valuable knowledge on philosophy, science, or literature.",,,,
tradegood,107,Cuneiform Tablets,CuneiformTablets,CuneiformTablets,Knowledge,1100,1,5000,500,"Baked clay tablets inscribed with cuneiform script, the records of Mesopotamia.",,,,
tradegood,108,Religious Trinkets,ReligiousTrinkets,ReligiousTrinkets,Artisan Goods,800,1,7500,750,"Small amulets, icons, or souvenirs for pilgrims and the devout.",,,,
tradegood,109,Byzantine Mosaics,ByzantineMosaics,ByzantineMosaics,Art,1700,10,120000,3000,Kits of colored glass tiles (tesserae) for creating intricate mosaics.,,,,
tradegood,110,Chariots,Chariots,Chariots,Transport,300,150,60000,3600,"Light, two-wheeled vehicles used in warfare, racing, and processions.",,,,
tradegood,111,Silphium,Silphium,Silphium,Medicinal Plant,300,1,100000,10000,"A rare, now-extinct plant from Cyrene, valued as a seasoning and powerful medicine.",,,,
tradegood,112,Bricks,Bricks,Bricks,Stone,1400,100,5000,200,"A durable sedimentary rock used for temples and monuments, especially in Egypt.",,,,
tradegood,113,Rubies,Rubies,Rubies,Gemstone,1200,1,200000,20000,"A red stone of immense value, often from India or Sri Lanka.",,,,
tradegood,114,Sapphires,Sapphires,Sapphires,Gemstone,1200,1,250000,25000,"A blue stone of immense value, often from India or Sri Lanka.",,,,
tradegood,115,Emeralds,Emeralds,Emeralds,Gemstone,1200,1,300000,30000,"A green stone of immense value, from mines in Egypt and India.",,,,
tradegood,116,Diamonds,Diamonds,Diamonds,Gemstone,1200,1,350000,35000,"A clear stone of immense value, prized for its hardness and brilliance.",,,,
tradegood,117,Fruit Preserves,FruitPreserves,FruitPreserves,Food,600,10,3500,88,Fruits that have been prepared to last longer.,,,,
tradegood,118,Dates,Dates,Dates,Food,700,10,1800,45,An energy-rich and easily transportable food source popular in the Mediterranean.,,,,
tradegood,119,Spices,Spices,Spices,Spices,450,1,60000,6000,General regional spices.,,,,
tradegood,120,Cured Meats,CuredMeats,CuredMeats,Food,900,10,2500,63,Preserved meats.,,,,
tradegood,121,Textiles,Textiles,Textiles,Textiles,350,5,5000,250,General cloth goods.,,,,
tradegood,122,Fur,Fur,Fur,Raw Goods,300,5,10000,500,"Soft, valuable pelts from wild animals like sable, fox, and ermine, a major trade good of the northern forests.",,,,
tradegood,123,Sable Fur,SableFur,SableFur,Luxury Goods,300,1,500000,50000,"The most prized of all furs, known for its incredible softness and dark color, highly sought after by royalty and the wealthy.",,,,
tradegood,124,Reindeer Antlers,ReindeerAntlers,ReindeerAntlers,Raw Goods,300,10,10000,250,"The antlers of domesticated reindeer, used for carving and tool making by northern peoples.",,,,
tradegood,125,Horse,Horse,Horse,Livestock,800,400,100000,10000,"A single riding horse, a vital component for warfare, travel, and communication, especially on the steppes.",,,,
tradegood,126,Camel,Camel,Camel,Livestock,800,600,150000,15000,"A single camel, the pack animal of choice for the deserts and steppes, capable of carrying heavy loads for long distances with minimal water.",,,,
tradegood,127,Jade,Jade,Jade,Luxury Goods,1500,5,150000,7500,"The rough, uncarved stone itself, a precious and highly valued material in China.",,,,
tradegood,128,Brocade Silk,BrocadeSilk,BrocadeSilk,Textiles,500,1,100000,10000,"A heavy, intricately woven silk fabric, often with gold or silver threads, reserved for the highest class of clothing.",,,,
tradegood,129,Nankeen Cloth,NankeenCloth,NankeenCloth,Textiles,150,5,8000,400,"A coarse, durable, yellow-brown cotton cloth from Nanjing, used for workwear and common garments.",,,,
tradegood,130,Tea,Tea,Tea,Beverage,400,1,20000,2000,"The dried leaves of the tea plant, a popular and valuable beverage originating in China.",,,,
tradegood,131,Porcelain,Porcelain,Porcelain,Ceramics,1500,5,40000,2000,"A fine, translucent ceramic from China, highly prized and sought after throughout the world.",,,,
tradegood,132,Sappanwood,Sappanwood,Sappanwood,Dye,800,10,15000,375,"A wood from Southeast Asia used to create a red dye, often used in textiles.",,,,
tradegood,133,Benzoin,Benzoin,Benzoin,Resins,800,1,25000,2500,"An aromatic resin from Southeast Asia, used for incense, perfumes, and medicine.",,,,
tradegood,134,Sandalwood,Sandalwood,Sandalwood,Wood,950,50,45000,900,"An aromatic wood from India and Southeast Asia, used for incense, carving, and furniture.",,,,
tradegood,135,Aloeswood,Aloeswood,Aloeswood,Wood,1000,50,60000,1200,"A resinous, fragrant heartwood used for incense and perfumes, one of the most expensive woods in the world.",,,,
tradegood,136,Gambier,Gambier,Gambier,Processed Goods,800,1,12000,1200,"An extract from a plant used as a dye and in tanning leather, common in Southeast Asia.",,,,
tradegood,137,Tortoise Shells,TortoiseShells,TortoiseShells,Luxury Goods,1200,2,50000,5000,"The shells of sea turtles, used for carving into decorative boxes and other luxury items.",,,,
tradegood,138,Cloves,Cloves,Cloves,Spices,500,1,80000,8000,"Dried flower buds from a tree native to the Spice Islands, a pungent and valuable spice.",,,,
tradegood,139,Nutmeg,Nutmeg,Nutmeg,Spices,500,1,75000,7500,"The seed of a tree from the Spice Islands, used as a spice and for its medicinal properties.",,,,
tradegood,140,Mace,Mace,Mace,Spices,450,1,75000,7500,"The lacy outer coating of the nutmeg seed, an aromatic and valuable spice.",,,,
tradegood,141,Sugar,Sugar,Sugar,Food,800,10,25000,625,"A highly-valued sweetener produced from sugarcane, a luxury good imported from the East.",,,,
tradegood,142,Ginger,Ginger,Ginger,Spices,600,1,15000,1500,"A pungent and aromatic rhizome used as a spice, common throughout Asia.",,,,
tradegood,143,Iron Tools,IronTools,IronTools,Metalwork,2500,10,9000,225,A collection of basic iron tools for a variety of tasks.,,,,
tradegood,144,Timber,Timber,Timber,Wood,400,100,5000,200,"General timber and lumber, used for construction and other purposes.",,,,
tradegood,145,Raw Silk,RawSilk,RawSilk,Raw Textiles,250,10,30000,750,"The unprocessed thread spun by silkworms, used for making luxury textiles.",,,,
tradegood,146,Lacquer,Lacquer,Lacquer,Processed Goods,1100,2,15000,1500,"The raw sap from the lacquer tree, a base material for decorative finishes.",,,,
tradegood,147,Chinese Ceramics,ChineseCeramics,ChineseCeramics,Ceramics,1500,5,25000,1250,"High-quality, decorated ceramic vessels, a major export of China.",,,,
tradegood,148,Gilded Bronze,GildedBronze,GildedBronze,Metalwork,4500,5,30000,1500,"Bronze decorated with a thin layer of gold, a luxury good from Damascus.",,,,
tradegood,149,Elephants,Elephants,Elephants,Livestock,800,1000,200000,20000,"A highly valuable and exotic trade animal, used for warfare and labor.",,,,
tradegood,150,Spinel,Spinel,Spinel,Gemstone,1200,1,1800000,180000,"A vibrant red gemstone from Southeast Asia, often confused with rubies.",,,,
tradegood,151,Blown Glass,BlownGlass,BlownGlass,Crafts,2500,2,100,10,"A luxury good, highly valued for its craftsmanship and clarity, often used for vessels and ornamental objects.",,,,
tradegood,152,Faience Beads,FaienceBeads,FaienceBeads,Crafts,2000,2,10,1,"Small, decorative beads made from a glassy paste, traded as both currency and jewelry.",,,,
tradegood,153,Gemstones,Gemstones,Gemstones,Luxury,3500,3,50000,4167,"Precious stones such as rubies and sapphires, highly valued for jewelry and status.",,,,
tradegood,154,Silks,Silks,Silks,Textiles,300,4,1000,63,"Fine woven textiles imported from the East, a high-value luxury item for the elite.",,,,
tradegood,155,Deerskins,Deerskins,Deerskins,Leather,700,1,1200,120,"The tanned hide of a deer, used for clothing, pouches, and other leather goods.",,,,
tradegood,156,Tin,Tin,Tin,Metal,7300,20,800,10,"A key metal used for alloying with copper to make bronze, heavily traded.",,,,
tradegood,157,Gold,Gold,Gold,Metal,19300,1,50000,5000,"The most precious of metals, used for currency, jewelry, and high-status objects.",,,,
tradegood,158,Silver,Silver,Silver,Metal,10500,1,1000,100,"A precious metal used for coinage and luxury goods, second only to gold in value.",,,,
tradegood,159,Silk,Silk,Silk,Textiles,300,1,1000,100,Raw silk thread used for weaving into fine clothing and tapestries.,,,,
tradegood,160,Camphor,Camphor,Camphor,Spices,500,1,200,20,"An aromatic substance used in perfumes, incense, and medicine.",,,,
tradegood,161,Jewelry,Jewelry,Jewelry,Luxury,5000,1,2000,200,"Elaborate ornaments made from precious metals and gems, a sign of wealth.",,,,
tradegood,162,Pottery,Pottery,Pottery,Ceramics,1500,2,145,15,"Common and functional clay vessels for storing and transporting goods, widely traded.",,,,
tradegood,163,Glass Beads,GlassBeads,GlassBeads,Crafts,2500,1,125,13,"Small, colored glass beads used for trade with less-developed regions and for decoration.",,,,
tradegood,164,Leather Goods,LeatherGoods,LeatherGoods,Leather,900,2,150,15,"Durable goods made from animal hides, including shoes, belts, and armor.",,,,
tradegood,165,Grain,Grain,Grain,Food,800,50,1000,20,"Staple food, such as wheat or barley, essential for feeding armies and large populations.",,,,
tradegood,166,Wax,Wax,Wax,Crafts,950,1,120,12,"Used for sealing documents, creating candles, and other crafts.",,,,
tradegood,167,Tribute Silver,TributeSilver,TributeSilver,Metal,10500,100,25000,1000,Silver collected as a form of tribute from conquered territories.,,,,
tradegood,168,Woven Textiles,WovenTextiles,WovenTextiles,Textiles,150,5,100,5,"Finished cloth made from wool, linen, or other fibers, used for clothing and household goods.",,,,
tradegood,169,Livestock,Livestock,Livestock,Animals,1000,500,200,20,"Domesticated animals such as sheep or goats, a source of food, wool, and labor.",,,,
tradegood,170,Fine Crafts,FineCrafts,FineCrafts,Crafts,2000,1,680,68,"Objects of superior artistic and technical quality, prized by the wealthy.",,,,
tradegood,171,Export Silk,ExportSilk,ExportSilk,Textiles,300,10,8000,200,High-quality silk designated for international trade along routes like the Silk Road.,,,,
tradegood,172,Export Porcelain,ExportPorcelain,ExportPorcelain,Ceramics,2400,10,1000,25,"Finely crafted porcelain pottery, a highly valued luxury export from the East.",,,,
tradegood,173,Bronze Tools,BronzeTools,BronzeTools,Metalwork,8800,5,175,9,"Tools made from bronze, known for their durability and sharp edge, a common item of trade.",,,,
tradegood,174,Copper Ore,CopperOre,CopperOre,Metal,8960,10,6000,150,"Raw copper ore, a valuable resource for blacksmiths and metalworkers.",,,,
tradegood,175,Leather,Leather,Leather,Leather,900,5,670,34,"Tanned hides used for making a variety of goods, including armor and clothing.",,,,
tradegood,176,Walrus Ivory,WalrusIvory,WalrusIvory,Luxury,1850,2,1000,100,"Ivory from walrus tusks, traded for its hardness and fine grain, used for carvings and decorative items.",,,,
