header city,IdKey,Name,Icon,Art,AncientName,Region,MapPixelX,,,MapPixelZ,Population,BiomeName,CultureName,PrimaryProducts,CommonlyAvailableAnimals,UncommonlyAvailableAnimals,Desc
city,28,Tarragona,Tarragona,Tarragona,Tarraco,Europe (Hispania),1244,2077,2221,2221,30000,Mediterranean / Arid,Roman,Raw Flax;Wine;Olive Oil;Limestone,Donkey;Mule;Ox;Riding Horse,,"The oldest Roman settlement in Hispania, serving as a major port and the administrative capital of a vast province."
city,29,Mérida,Merida,Merida,Emerita Augusta,Europe (Hispania),892,2181,2325,2325,40000,Mediterranean / Arid,Roman,Wheat;Cured Meats;Gold Bullion;Silver Bullion,Donkey;Mule;Ox;Riding Horse,Pony,"A grand city founded for veteran legionaries, known for its impressive Roman engineering, including theaters, bridges, and aqueducts."
city,30,Ravenna,Ravenna,Ravenna,Ravenna,Europe (Italy),1748,1929,2073,2073,50000,Mediterranean,Roman,Pine Timber;Salt;Byzantine Mosaics;Wheat,Donkey;Mule;Ox,Riding Horse,"A strategic port city surrounded by marshes, which became the last capital of the Western Roman Empire and a bastion of Byzantine art."
city,31,Aquileia,Aquileia,Aquileia,Aquileia,Europe (Italy),1800,1869,2013,2013,100000,Mediterranean,Roman,Amber;Blown Glass;Iron Weapons;Wine,Donkey;Mule;Ox;Draft Horse;Riding Horse,Pony,"A major Roman city at the head of the Adriatic Sea, a crossroads for trade in amber, iron, and wine between Italy and the northern provinces."
city,32,Sparta,Sparta,Sparta,Sparta,Europe (Greece),2208,2265,2409,2409,25000,Mediterranean,Greek,Bronze Figurines;Fine Pottery,Donkey;,Mule;Ox,"A famously militaristic Greek city-state in the Peloponnese, valued more for its disciplined soldiers than for its material trade goods."
city,33,Thebes,Thebes,Thebes,Thebae,Europe (Greece),2256,2205,2349,2349,30000,Mediterranean,Greek,Bronze Armor;Chariots;Barley,Donkey;Riding Horse;Ox;,Mule,"A powerful city in Boeotia and a frequent rival of Athens, known for its legendary Sacred Band and strength in cavalry."
city,34,Pergamon,Pergamon,Pergamon,Pergamum,Asia (Anatolia),2428,2165,2309,2309,200000,Highland Mediterranean,Greek,Parchment;Silver Coins;Tapestries;Wine,Donkey;Mule;Ox;;Riding Horse,Pony,"A great Hellenistic capital in Anatolia, home to a massive library and the legendary inventor of parchment as a substitute for papyrus."
city,35,Miletus,Miletus,Miletus,Miletus,Asia (Anatolia),2440,2249,2393,2393,100000,Highland Mediterranean,Greek,Woolen Textiles;Murex Dye;Olive Oil;Scholarly Scroll,Donkey;Mule;,Ox;Riding Horse,"An ancient Ionian Greek city, a birthplace of philosophy and science, and a major producer of fine woolen textiles."
city,36,Halicarnassus,Halicarnassus,Halicarnassus,Halicarnassus,Asia (Anatolia),2448,2265,2409,2409,30000,Highland Mediterranean,Greek,Dried Figs;Wine;Sea Sponges;Marble Statues,Donkey;Mule;,Ox;Riding Horse,"A coastal Carian city famed as the site of the Mausoleum, one of the Seven Wonders of the Ancient World."
city,37,Sardis,Sardis,Sardis,Sardis,Asia (Anatolia),2488,2201,2345,2345,100000,Highland Mediterranean,Greek,Electrum Coins;Gold Jewelry;Woven Carpets;Murex Dye,Donkey;Mule;Ox;Riding Horse;Heavy Warhorse,Dromedary Camel,"The wealthy capital of the ancient Kingdom of Lydia, where coinage was first invented, situated on a key crossroads of Anatolian trade."
city,38,Tarsus,Tarsus,Tarsus,Tarsus,Asia (Anatolia),2784,2269,2413,2413,50000,Highland Mediterranean,Greek,Goat-hair Cloth;Linen;Wheat,Donkey;Mule;Ox;;Dromedary Camel,Riding Horse,"The capital of Roman Cilicia, a center of learning and the primary producer of cilicium, a durable cloth made from goat hair."
city,39,Damascus,Damascus,Damascus,Damascus,Asia (Levant),2848,2429,2573,2573,100000,Mediterranean,Levantine,Damascus Steel;Inlaid Wood Box;Dried Apricots;Blown Glass,Donkey;Dromedary Camel;Riding Horse,Mule;Tamed Onager,"One of the world's oldest continuously inhabited cities, a vital oasis and trade hub connecting Mesopotamia with the Mediterranean coast."
city,40,Jerusalem,Jerusalem,Jerusalem,Aelia Capitolina,Asia (Levant),2804,2505,2649,2649,100000,Mediterranean,Levantine,Olive Oil;Wine;Balsam Oil;Religious Trinkets,Donkey;Dromedary Camel;,Mule,"A city of immense religious significance to multiple faiths, drawing pilgrims from across the world and exporting local holy goods."
city,41,Sidon,Sidon,Sidon,Sidon,Asia (Levant),2808,2429,2573,2573,40000,Mediterranean,Levantine,Blown Glass;Tyrian Purple Dye;Cedar Timber;Salted Fish,Donkey;Dromedary Camel;,Mule;Riding Horse,"A great Phoenician port city, sister and rival to Tyre, renowned for its skilled glassblowers and maritime trade network."
city,42,Byblos,Byblos,Byblos,Byblos,Asia (Levant),2820,2405,2549,2549,10000,Mediterranean,Levantine,Papyrus;Cedar Timber;Pine Resin,Donkey;Dromedary Camel;,Mule,"An ancient port city so intertwined with the papyrus trade that the Greek word for book, 'biblos', derives from its name."
city,43,Dura-Europos,DuraEuropos,DuraEuropos,Dura-Europos,Asia (Mesopotamia),3040,2361,2505,2505,15000,Riverine Desert,Mesopotamian,Textiles;Perfumed Oils;Bronze Armor,Dromedary Camel;Donkey,Tamed Onager;Bactrian Camel,"A fortress city on the Euphrates, a multicultural crossroads between the Roman and Parthian empires, perfectly preserved by the desert sands."
city,44,Nineveh,Nineveh,Nineveh,Nineveh,Asia (Mesopotamia),3160,2305,2449,2449,150000,Riverine Desert,Mesopotamian,Barley;Glazed Bricks;Cuneiform Tablets,Donkey;Ox;Riding Horse;Dromedary Camel,Tamed Onager;Heavy Warhorse,"The magnificent capital of the formidable Assyrian Empire, one of the largest cities in the world at its height."
city,45,Persepolis,Persepolis,Persepolis,Parsa,Asia (Persia),3600,2593,2737,2737,20000,Highland Arid,Persian,Polished Stonework;Gold Rhytons,Donkey;Ox;Riding Horse;Heavy Warhorse,Dromedary Camel,"The grand ceremonial capital of the Achaemenid Persian Empire, built to inspire awe and receive the tribute of subject nations."
city,46,Susa,Susa,Susa,Shushan,Asia (Persia),3400,2489,2633,2633,80000,Highland Arid,Persian,Woven Carpets;Tyrian Purple Dye;Bitumen;Glazed Bricks,Donkey;Ox;Riding Horse;Dromedary Camel,Tamed Onager;Water Buffalo,"A major administrative capital of the Persian and later empires, strategically located between the Mesopotamian lowlands and the Iranian plateau."
city,47,Ctesiphon,Ctesiphon,Ctesiphon,Tisfun,Asia (Mesopotamia),3228,2441,2585,2585,500000,Riverine Desert,Mesopotamian,Silk Fabric;Barley;Silver Coins;Fine Glassware,Donkey;Dromedary Camel;Water Buffalo;Riding Horse,Bactrian Camel;Heavy Warhorse;Asian Elephant,"The sprawling winter capital of the Parthian and Sasanian Empires, famed for its colossal vaulted arch, the largest single-span brick arch in the world."
city,48,Hatra,Hatra,Hatra,Hatra,Asia (Mesopotamia),3136,2329,2473,2473,20000,Riverine Desert,Mesopotamian,Limestone Statues;Gold Jewelry,Dromedary Camel;Donkey,Riding Horse;Tamed Onager,"A fortified desert city that grew wealthy as a religious and trade center, known for its unique blend of Greek, Roman, and Parthian art."
city,49,Luxor,Luxor,Luxor,Waset/Thebae,North Africa,2684,2789,2933,2933,80000,Riverine Desert,Egyptian,Wheat;Papyrus;Linen;Gold Bullion;Sandstone,Donkey;Ox;Dromedary Camel,Riding Horse;,"The great capital of New Kingdom Egypt, a vast religious complex centered on the monumental temples of Karnak and Luxor."
city,50,Cyrene,Cyrene,Cyrene,Cyrene,North Africa,2188,2457,2601,2601,50000,Coastal Arid,Punic,Silphium;Barley;Raw Wool,Donkey;Dromedary Camel;Riding Horse,Mule;,"A prosperous Greek colony in Libya, whose wealth was founded on the cultivation and trade of the now-extinct, highly valuable plant Silphium."
city,51,Volubilis,Volubilis,Volubilis,Volubilis,North Africa,932,2397,2541,2541,15000,Coastal Arid,Punic,Wheat;Olive Oil;Garum,Donkey;Dromedary Camel;Mule,Riding Horse,"An important Roman provincial city on the western frontier of Africa, a center for the region's agricultural wealth."
city,52,Cherchell,Cherchell,Cherchell,Caesarea Mauretaniae,North Africa,1292,2293,2437,2437,30000,Coastal Arid,Punic,Wheat;Salted Fish;Cedar Timber;Marble,Donkey;Mule,Riding Horse,"The capital of the Roman province of Mauretania, a bustling port city with a distinct Greco-Roman character."
city,53,Samarkand,Samarkand,Samarkand,Marakanda,Asia (Central Asia),4244,2141,2285,2285,150000,Steppe / Arid,Persian,Sogdian Paper;Peaches;Rubies,Bactrian Camel;Riding Horse;Heavy Warhorse;Pony,Dromedary Camel;Donkey,"A legendary oasis city on the Silk Road, a Sogdian center of trade connecting China, India, and Persia."
city,54,Bukhara,Bukhara,Bukhara,Bukhara,Asia (Central Asia),4140,2141,2285,2285,80000,Steppe / Arid,Persian,Raw Cotton;Brass Lamps;Woven Carpets;Melons,Bactrian Camel;Donkey;Riding Horse,Pony;Dromedary Camel,"Another major Silk Road city, renowned for its crafts, carpets, and as a center of learning and culture in Central Asia."
city,55,Merv,Merv,Merv,Margiana,Asia (Central Asia),4020,2233,2377,2377,200000,Steppe / Arid,Persian,Watered Steel;Silk Fabric;Glazed Pottery;Melons,Bactrian Camel;Donkey;Riding Horse;Heavy Warhorse,Dromedary Camel,"A massive oasis city in the Karakum Desert, a vital stop on the Silk Road and one of the largest cities in the world at its peak."
city,56,Taxila,Taxila,Taxila,Takshashila,Asia (India),4528,2413,2557,2557,30000,Tropical / Subtropical,Indian,Lapis Lazuli;Turquoise;Raw Cotton,Zebu;Water Buffalo;Asian Elephant;Riding Horse,Pony;Bactrian Camel;Yak,"A bustling crossroads of cultures and learning in ancient India, where Greek, Persian, and Indian influences converged around a great university."
city,57,Pataliputra,Pataliputra,Pataliputra,Pataliputra,Asia (India),5104,2789,2933,2933,400000,Tropical / Subtropical,Indian,Muslin;Polished Stonework;Steel Swords;Rice,Zebu;Water Buffalo;Asian Elephant,Riding Horse,"The grand capital of the Mauryan Empire in India, a massive and sophisticated city on the banks of the Ganges."
city,58,Muziris,Muziris,Muziris,Muziris,Asia (India),4680,3497,3641,3641,10000,Tropical / Subtropical,Indian,Black Pepper;Malabathron;Pearls;Ivory;Beryl,Zebu;Water Buffalo,Asian Elephant,"A legendary port on the Malabar Coast of India, which vanished from history. It was the epicenter of the lucrative spice trade with the Roman Empire."
city,59,Berenice,Berenice,Berenice,Berenice Troglodytica,North Africa,2828,2869,3013,3013,4000,Coastal Arid,Punic,Gold Bullion;Myrrh;Spices,Dromedary Camel;Donkey,Asian Elephant,"A key Ptolemaic and Roman port on the Red Sea, built to secure the trade route for war elephants and spices from the East."
city,60,Hegra,Hegra,Hegra,Hegra (Mada'in Salih),Asia (Arabia),2984,2753,2897,2897,2000,Desert,Arab,Frankincense;Myrrh;Dates;Rock Salt,Dromedary Camel;Donkey,Riding Horse,"The southern sister-city to Petra, a Nabataean caravan city known for its spectacular rock-cut tombs, controlling the Incense Route."
city,61,Milan,Milan,Milan,Mediolanum,Europe (Italy),1568,1881,2025,2025,100000,Mediterranean,Roman,Imperial Armor;Iron Weapons;Fine Glassware;Wheat,Donkey;Mule;Ox;Draft Horse;Riding Horse,Heavy Warhorse,A major city in northern Italy that grew in importance to become an administrative center and de facto capital of the late Western Roman Empire.
city,62,Bordeaux,Bordeaux,Bordeaux,Burdigala,Europe (Gaul),1160,1909,2053,2053,20000,Temperate Forest,Roman,Wine;Oysters;Tin Ingot,Donkey;Ox;Draft Horse;,Mule,"A flourishing port city in southwestern Gaul, the center of a major wine-producing region whose goods were shipped across the empire."
city,63,York,York,York,Eburacum,Europe (Britannia),1140,1493,1637,1637,25000,Temperate Maritime,Roman,Jet Pendants;Wheat;Woolen Textiles;Lead Ingots,Donkey;Ox;;Pony,Riding Horse,"A rugged legionary fortress and administrative capital on the northern frontier of Roman Britain, guarding against the untamed tribes beyond."
city,64,Brindisi,Brindisi,Brindisi,Brundisium,Europe (Italy),2008,2101,2245,2245,40000,Mediterranean,Roman,Oysters;Fine Wool;Naval Supplies;Wine,Donkey;Mule;Ox,Riding Horse;,"The primary Roman port of embarkation for Greece and the East, marking the terminus of the great Via Appia."
city,65,Tangier,Tangier,Tangier,Tingis,North Africa,920,2321,2465,2465,20000,Coastal Arid,Punic,Murex Dye;Salted Fish;Salt;Hides,Donkey;Mule;Dromedary Camel,Riding Horse,The capital of the Roman province of Mauretania Tingitana and a key port controlling the Strait of Gibraltar.
city,66,Seleucia,Seleucia,Seleucia,Seleucia,Asia (Mesopotamia),3224,2441,2585,2585,600000,Riverine Desert,Mesopotamian,Bitumen;Wheat;Barley;Silver Coins,Donkey;Dromedary Camel;Water Buffalo;Ox,Mule;Tamed Onager;Asian Elephant,"A great Hellenistic metropolis founded on the Tigris, which for centuries rivaled Babylon and Alexandria in size and commercial importance."
city,67,Hamadan,Hamadan,Hamadan,Ecbatana,Asia (Persia),3404,2369,2513,2513,50000,Highland Arid,Persian,Silverware;Woven Carpets,Donkey;Mule;Riding Horse;Heavy Warhorse;,Bactrian Camel,"The ancient capital of the Medes, located at a high altitude on a key leg of the Silk Road connecting Mesopotamia to Central Asia."
city,68,Artaxata,Artaxata,Artaxata,Artaxata,Asia (Armenia),3232,2141,2285,2285,150000,Mountainous,Persian,Naphtha;Salted Fish;Arsenic,Mule;Pony;Riding Horse;Heavy Warhorse;,Ox,"The grand capital of ancient Armenia, strategically located on the Araxes River at a crossroads between the Roman, Parthian, and Caucasian worlds."
city,69,Bharuch,Bharuch,Bharuch,Barygaza,Asia (India),4516,2969,3113,3113,30000,Tropical / Subtropical,Indian,Agate Beads;Carnelian Beads;Fine Cotton;Spikenard,Zebu;Water Buffalo,Donkey;Asian Elephant,"A major trade port in Gujarat, India, known to Greco-Roman geographers as a vital center for the lucrative Indian Ocean trade."
city,70,Plovdiv,Plovdiv,Plovdiv,Philippopolis,Europe (Thrace),2320,2033,2177,2177,100000,Temperate,Greek,Wheat;Cedar Timber;Marble,Donkey;Mule;Ox;Riding Horse;Pony,,"A large, prosperous city in the Roman province of Thrace, strategically located on the major military road to the East."
city,71,Solin,Solin,Solin,Salona,Europe (Dalmatia),1940,1965,2109,2109,60000,Mediterranean,Roman,Wheat;Olive Oil;Limestone;Wine,Donkey;Mule;Ox;,Pony,"The bustling capital of the Roman province of Dalmatia, a major port on the Adriatic coast."
city,72,Angkor,Angkor,Angkor,Angkor (Khmer Empire),Asia (Southeast Asia),5944,3349,3493,3493,1000000,Tropical Rainforest,Khmer,Rice;Timber;Gemstones;Lacquer;Chinese Ceramics;Silks,Water Buffalo;Zebu;Asian Elephant,,"The vast capital of the Khmer Empire, a sprawling urban and religious complex sustained by a sophisticated irrigation system that produced immense agricultural wealth."
city,73,Ayutthaya,Ayutthaya,Ayutthaya,Ayutthaya (Ayutthaya Kingdom),Asia (Southeast Asia),5792,3305,3449,3449,1000000,Tropical Rainforest,Khmer,Rice;Sugar;Deerskins;Sappanwood;Tin;Benzoin;Gold;Silver;Lacquerware,Water Buffalo;Zebu;Asian Elephant,,"A cosmopolitan island capital and trading powerhouse that served as a crucial intermediary for goods flowing between the Indian Ocean, South China Sea, and beyond."
city,74,Malacca,Malacca,Malacca,Malacca (Sultanate of Malacca),Asia (Southeast Asia),5868,3861,4005,4005,200000,Tropical Rainforest,Khmer,Spices;Cloves;Nutmeg;Mace;Silk;Porcelain;Textiles;Camphor,Water Buffalo;Asian Elephant,,"A legendary and wealthy entrepôt controlling the strategic Strait of Malacca, it was the vital global center for the lucrative spice trade from the East Indies."
city,75,Palembang,Palembang,Palembang,Palembang (Srivijaya Empire),Asia (Southeast Asia),5984,4097,4241,4241,50000,Tropical Rainforest,Khmer,Aloeswood;Sandalwood;Camphor;Cloves;Tortoise Shells,Water Buffalo;Asian Elephant,,"The likely capital of the Srivijayan maritime empire, which dominated sea lanes and grew rich by controlling and taxing the vast trade passing through its waters."
city,76,Oc Eo,OcEo,OcEo,Oc Eo (Funan Kingdom),Asia (Southeast Asia),6000,3493,3637,3637,20000,Tropical Rainforest,Khmer,Jewelry;Pottery;Spices;Glass Beads,Water Buffalo;Zebu;Asian Elephant,,"A key port city of the Funan Kingdom in the Mekong Delta, it was a surprisingly cosmopolitan hub with trade connections stretching as far as the Roman Empire."
city,77,Bolghar,Bolghar,Bolghar,Bolghar (Volga Bulgaria),bol,3432,1445,1589,1589,50000,Continental / Steppe,Mongol,Fur;Leather Goods;Grain;Honey;Wax,Riding Horse;Ox;Pony,Donkey;Reindeer,"A major trade hub on the Volga river, connecting the Norse, Russians, and the Islamic world, known for its lucrative leather and fur trade."
city,78,Karakorum,Karakorum,Karakorum,Karakorum,Asia (Mongolia),5896,1797,1941,1941,20000,Steppe,Mongol,Tribute Silver;Grain;Woven Textiles;Livestock,Riding Horse;Pony;Bactrian Camel;Yak,Heavy Warhorse,"The legendary capital of the vast Mongol Empire, a cosmopolitan center of administration, trade, and religion on the windswept steppes."
city,79,Beijing,Beijing,Beijing,Dadu / Khanbaliq,Asia (China),6516,2137,2281,2281,1000000,Temperate,Chinese,Porcelain;Silk Fabric;Grain;Jade Carvings;Fine Crafts,Riding Horse;Ox;Donkey;Pony,Bactrian Camel,"The grand northern capital of Kublai Khan's Yuan Dynasty, a meticulously planned imperial city and a major center of power and culture."
city,80,Nanjing,Nanjing,Nanjing,Jiankang,Asia (China),6628,2493,2637,2637,1000000,Temperate,Chinese,Brocade Silk;Nankeen Cloth;Rice;Porcelain,Water Buffalo;Ox;Donkey,,"A major southern capital for numerous Chinese dynasties, famed for its massive city walls, rich culture, and production of high-quality silks and textiles."
city,81,Guangzhou,Guangzhou,Guangzhou,Panyu / Canton,Asia (China),6376,2901,3045,3045,500000,Subtropical,Chinese,Export Silk;Export Porcelain;Tea;Pearls;Spices,Water Buffalo;Zebu,,"China's most enduring maritime gateway, a bustling port city on the Pearl River that has connected the empire to global sea trade for millennia."
city,82,Arkaim,Arkaim,Arkaim,Arkaim,Asia (Urals/Russia),3916,1549,1693,1693,2000,Steppe,Indian,Bronze Tools;Chariots;Copper Ore;Livestock,Draft Horse;Ox,Riding Horse,"A fortified Bronze Age settlement in the Ural steppes, considered a proto-city and a key site for understanding the origins of Indo-European cultures and chariot technology."
city,83,Ukek,Ukek,Ukek,Ukek,Europe (Russia),3296,1601,1745,1745,10000,Continental / Steppe,Mongol,Pottery;Grain;Leather;Salted Fish,Riding Horse;Ox;Donkey;Bactrian Camel,Pony,"A significant city of the Golden Horde on the Volga, a multicultural center for crafts and trade before its destruction by Tamerlane."
